City,Area,Pincode,District,State,
Kurnool,Bilakalaguduru,518508,Kurnool,Andhra Pradesh,
Kurnool,Biravolu,518412,Kurnool,Andhra Pradesh,
Kurnool,Bondimadugula,518468,Kurnool,Andhra Pradesh,
Kurnool,Bugganipalli,518206,Kurnool,Andhra Pradesh,
Kurnool,Bukkapuram,518002,Kurnool,Andhra Pradesh,
Kurnool,Buruzula,518380,Kurnool,Andhra Pradesh,
Kurnool,Chandrapalli,518221,Kurnool,Andhra Pradesh,
Kurnool,Chanugondla,518464,Kurnool,Andhra Pradesh,
Kurnool,Chatnihalli,518345,Kurnool,Andhra Pradesh,
Kurnool,Chelimilla,518442,Kurnool,Andhra Pradesh,
Kurnool,Chinnaharivanam,518308,Kurnool,Andhra Pradesh,
Kurnool,Chinnahyti,518346,Kurnool,Andhra Pradesh,
Kurnool,Chudi,518333,Kurnool,Andhra Pradesh,
Kurnool,Daivamdinne,518360,Kurnool,Andhra Pradesh,
Kurnool,Diguvapadu,518452,Kurnool,Andhra Pradesh,
Kurnool,Gani,518010,Kurnool,Andhra Pradesh,
Kurnool,Gudipadu,518466,Kurnool,Andhra Pradesh,
Kurnool,Hampa,518385,Kurnool,Andhra Pradesh,
Kurnool,Industrial Estate,518003,Kurnool,Andhra Pradesh,
Kurnool,Jampapuram,518349,Kurnool,Andhra Pradesh,
Kurnool,Kalugotla,518217,Kurnool,Andhra Pradesh,
Kurnool,Kanakaveedu,518343,Kurnool,Andhra Pradesh,
Kurnool,Knl osmaniacollege,518001,Kurnool,Andhra Pradesh,
Kurnool,S.S.Dam East,518102,Kurnool,Andhra Pradesh,
Kurnool,Srisailam,518101,Kurnool,Andhra Pradesh,
Nandyal,A.Kodur,518523,Kurnool,Andhra Pradesh,
Nandyal,Abdullapuram,518123,Kurnool,Andhra Pradesh,
Nandyal,Ahobilam,518543,Kurnool,Andhra Pradesh,
Nandyal,Akaveedu,523372,Prakasam,Andhra Pradesh,
Nandyal,Akkampalli,518145,Kurnool,Andhra Pradesh,
Nandyal,Akkapalem,523328,Prakasam,Andhra Pradesh,
Nandyal,Akkapalli,523356,Prakasam,Andhra Pradesh,
Nandyal,Akumalla,518196,Kurnool,Andhra Pradesh,
Nandyal,Alamur,518112,Kurnool,Andhra Pradesh,
Nandyal,Alavakonda,518165,Kurnool,Andhra Pradesh,
Nandyal,Allinagaram,523373,Prakasam,Andhra Pradesh,
Nandyal,Allur,518134,Kurnool,Andhra Pradesh,
Nandyal,Ambavaram,523357,Prakasam,Andhra Pradesh,
Nandyal,Ammanigudipadu,523330,Prakasam,Andhra Pradesh,
Nandyal,Ammireddinagar,518135,Kurnool,Andhra Pradesh,
Nandyal,Anantavaram,523315,Prakasam,Andhra Pradesh,
Nandyal,Annasamudram,523326,Prakasam,Andhra Pradesh,
Nandyal,Anumalapalle,523368,Prakasam,Andhra Pradesh,
Nandyal,Anupur,518176,Kurnool,Andhra Pradesh,
Nandyal,Appalapuram,518124,Kurnool,Andhra Pradesh,
Nandyal,Aravallipadu,523305,Prakasam,Andhra Pradesh,
Nandyal,Ardhaveedu,523335,Prakasam,Andhra Pradesh,
Nandyal,Aurangabad,523370,Prakasam,Andhra Pradesh,
Nandyal,Ayalur,518502,Kurnool,Andhra Pradesh,
Nandyal,Ayanamukkala,523331,Prakasam,Andhra Pradesh,
Nandyal,Ayyavaripalle,523336,Prakasam,Andhra Pradesh,
Nandyal,B.Cherlopalle,523320,Prakasam,Andhra Pradesh,
Nandyal,Balavegammanagar,518573,Kurnool,Andhra Pradesh,
Nandyal,Basinepalle,523346,Prakasam,Andhra Pradesh,
Nandyal,Basireddypalle,523333,Prakasam,Andhra Pradesh,
Nandyal,Bathalur,518510,Kurnool,Andhra Pradesh,
Nandyal,Beeravolu,518583,Kurnool,Andhra Pradesh,
Nandyal,Belum,518122,Kurnool,Andhra Pradesh,
Nandyal,Besthavari  Peta,523334,Prakasam,Andhra Pradesh,
Nandyal,Bhupathipalle,523332,Prakasam,Andhra Pradesh,
Nandyal,Block Area,523327,Prakasam,Andhra Pradesh,
Nandyal,Bodemmanur,518155,Kurnool,Andhra Pradesh,
Nandyal,Bollavaram,518512,Kurnool,Andhra Pradesh,
Nandyal,Burjupalle,523367,Prakasam,Andhra Pradesh,
Nandyal,Chagalamarri,518553,Kurnool,Andhra Pradesh,
Nandyal,Chandalur,518594,Kurnool,Andhra Pradesh,
Nandyal,Chindukur,518511,Kurnool,Andhra Pradesh,
Nandyal,Chintakunta,523329,Prakasam,Andhra Pradesh,
Nandyal,Galichennayapalem,518513,Kurnool,Andhra Pradesh,
Nandyal,Giddalur(Kkt),518166,Kurnool,Andhra Pradesh,
Nandyal,Gospadu,518674,Kurnool,Andhra Pradesh,
Nandyal,Guntanala,518593,Kurnool,Andhra Pradesh,
Nandyal,Idamakallu,523369,Prakasam,Andhra Pradesh,
Nandyal,Illuri Kotha Peta,518186,Kurnool,Andhra Pradesh,
Nandyal,Jillella,518563,Kurnool,Andhra Pradesh,
Nandyal,Kethagudipi,523371,Prakasam,Andhra Pradesh,
Nandyal,Markapur Bazar,523316,Prakasam,Andhra Pradesh,
Nandyal,Nandyal Bazar,518501,Kurnool,Andhra Pradesh,
